ranking,comment_time,usefule_num
5,2016/10/3,2
5,2016/9/18,4
3,2016/12/5,5
3,2017/1/7,2
3,2016/12/13,2
3,2016/12/3,5
3,2016/12/11,3
5,2016/9/25,7
,2016/10/21,1
5,2016/12/6,2
3,2016/12/4,6
5,2016/9/18,5
5,2016/12/3,3
4,2016/11/29,3
5,2016/9/26,3
5,2016/12/3,9
5,2016/12/4,4
3,2016/12/4,4
4,2016/12/10,2
3,2016/11/6,9
4,2016/12/4,3
5,2016/12/3,9
3,2017/1/1,2
,2016/11/12,5
5,2016/12/7,3
5,2016/12/3,6
,2016/12/17,1
3,2016/12/9,1
5,2016/10/22,3
5,2016/12/3,3
5,2016/12/3,5
4,2016/12/5,2
4,2016/9/25,9
5,2016/9/27,5
4,2016/9/13,5
4,2016/12/5,6
4,2016/9/20,4
5,2016/12/6,4
3,2016/12/6,8
4,2016/11/20,5
4,2016/9/16,5
2,2016/12/5,3
3,2016/12/10,4
5,2016/12/5,5
4,2016/10/6,27
5,2016/12/4,5
4,2016/12/2,3
,2016/12/4,2
4,2016/11/17,3
3,2016/12/14,2
5,2016/12/22,1
4,2016/12/2,2
5,2016/12/4,4
3,2016/12/4,3
3,2016/12/3,5
3,2016/12/2,11
3,2016/12/3,3
4,2016/12/5,2
4,2016/12/30,1
4,2017/5/28,1
3,2016/9/14,11
4,2016/12/3,2
3,2017/1/27,3
3,2017/7/29,5
5,2016/12/3,2
3,2016/12/4,4
4,2016/9/18,2
5,2016/12/4,4
4,2016/12/5,1
4,2016/12/2,1
4,2016/12/6,1
5,2016/12/2,4
3,2016/12/1,9
4,2017/1/27,1
5,2016/10/6,4
3,2016/12/3,7
2,2016/12/3,3
,2017/4/8,1
5,2016/9/19,4
4,2016/9/7,2
5,2016/12/2,5
5,2016/12/4,7
2,2016/11/17,8
5,2016/12/3,6
4,2016/10/18,3
4,2016/12/4,1
3,2016/12/2,4
4,2016/12/2,3
4,2016/12/11,1
,2017/2/26,0
5,2016/12/5,2
5,2016/12/12,4
4,2016/12/17,3
4,2016/12/4,3
4,2016/9/30,1
5,2016/9/8,3
4,2016/12/6,3
5,2016/12/10,3
4,2016/9/8,2
4,2016/12/3,0
4,2016/12/4,1
1,2016/12/2,6
3,2016/9/8,3
4,2016/12/11,1
,2016/12/15,9
4,2016/12/4,0
5,2016/10/22,5
4,2016/12/6,3
4,2016/12/3,1
2,2016/11/4,15
4,2016/12/7,2
5,2016/12/11,3
5,2016/12/4,8
3,2016/11/12,4
3,2016/9/20,9
5,2016/12/6,4
5,2016/12/5,7
5,2016/12/5,2
5,2016/9/16,4
5,2016/11/22,3
5,2016/12/1,6
2,2017/1/29,2
5,2016/12/5,2
4,2016/10/13,2
3,2016/12/7,4
5,2016/12/6,3
4,2016/12/6,1
4,2016/9/14,1
5,2016/12/3,3
4,2016/9/16,4
5,2016/11/27,4
3,2017/2/9,1
4,2016/12/11,0
3,2016/12/5,3
,2016/10/22,5
3,2016/9/13,10
3,2016/12/4,3
4,2016/12/4,2
5,2017/2/5,3
4,2016/12/6,4
5,2016/11/17,4
5,2016/12/2,5
5,2016/12/6,5
4,2016/12/2,1
5,2016/12/4,3
3,2016/12/3,3
4,2016/12/4,1
5,2016/12/2,5
4,2016/12/3,1
4,2016/12/2,5
3,2016/12/7,3
